id,kecamatan,varietas,jenis_tanah,tekstur,luas_lahan,curah_hujan,suhu,total_n_dasar,total_p_dasar,total_k_dasar,umur_hst,fase_tanaman,ph,n_ppm,p_ppm,k_ppm,status_hara,rekomendasi_tindakan,dosis_urea_susulan,dosis_sp36_susulan,dosis_kcl_susulan,total_umur_panen,hasil_panen_estimasi,sisa_hari_panen
1,Sonder,NK Perkasa,Andosol,Lempung,2.8,170,31,0.0,0.0,0.0,52,Vegetatif Aktif,6.8,14,13,22,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.8,58
2,Kauditan,Pertiwi,Andosol,Pasir,0.8,183,27,0.0,0.0,0.0,61,Generatif,6.7,23,17,21,Seimbang,Pertahankan Kondisi,0,0,0,105,5.7,44
3,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.5,245,28,15.0,15.0,15.0,52,Vegetatif Aktif,6.6,28,14,14,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.9,38
4,Sonder,NK Perkasa,Regosol,Pasir,2.2,199,31,38.0,15.0,15.0,57,Generatif,6.5,35,14,23,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,53
5,Airmadidi,NK Perkasa,Andosol,Pasir,1.3,236,30,0.0,0.0,0.0,77,Generatif,6.3,11,10,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.8,33
6,Kauditan,NK Perkasa,Regosol,Lempung Berpasir,2.2,244,31,23.0,0.0,0.0,41,Vegetatif Aktif,5.6,26,11,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,6.0,69
7,Airmadidi,Bisi 2,Regosol,Lempung Berpasir,0.9,201,29,15.0,15.0,15.0,63,Generatif,6.2,19,26,25,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,52
8,Tondano Utara,NK Perkasa,Regosol,Pasir,1.3,166,27,23.0,0.0,0.0,43,Vegetatif Aktif,5.5,20,13,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.8,67
9,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.4,219,28,0.0,0.0,0.0,19,Vegetatif Awal,6.4,19,17,20,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.0,96
10,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,1.0,216,27,0.0,0.0,0.0,42,Vegetatif Aktif,5.5,16,16,19,Seimbang,Pertahankan Kondisi,0,0,0,115,4.9,73
11,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,1.6,160,28,38.0,15.0,15.0,32,Vegetatif Aktif,6.1,30,25,25,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,83
12,Tondano Utara,Bisi 2,Latosol,Lempung Berpasir,2.5,241,29,0.0,0.0,0.0,65,Generatif,5.9,20,19,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.0,50
