id,kecamatan,varietas,jenis_tanah,tekstur,luas_lahan,curah_hujan,suhu,total_n_dasar,total_p_dasar,total_k_dasar,umur_hst,fase_tanaman,ph,n_ppm,p_ppm,k_ppm,status_hara,rekomendasi_tindakan,dosis_urea_susulan,dosis_sp36_susulan,dosis_kcl_susulan,total_umur_panen,hasil_panen_estimasi
1,Sonder,NK Perkasa,Andosol,Lempung,2.8,170,31,0.0,0.0,0.0,52,Vegetatif Aktif,6.8,14,13,22,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.9
2,Kauditan,Pertiwi,Andosol,Pasir,0.8,183,27,0.0,0.0,0.0,61,Generatif,6.7,23,17,21,Seimbang,Pertahankan Kondisi,0,0,0,105,5.5
3,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.5,245,28,15.0,15.0,15.0,52,Vegetatif Aktif,6.6,28,14,14,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.1
4,Sonder,Pertiwi,Regosol,Pasir,2.2,199,31,38.0,15.0,15.0,57,Generatif,6.5,35,14,23,Seimbang,Pertahankan Kondisi,0,0,0,105,5.4
5,Airmadidi,Bisi 2,Andosol,Pasir,1.3,236,30,0.0,0.0,0.0,77,Generatif,6.3,11,10,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.2
6,Kauditan,Pertiwi,Regosol,Lempung Berpasir,2.2,244,31,23.0,0.0,0.0,41,Vegetatif Aktif,5.6,26,11,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.1
7,Airmadidi,Bisi 2,Regosol,Lempung Berpasir,0.9,201,29,15.0,15.0,15.0,63,Generatif,6.2,19,26,25,Seimbang,Pertahankan Kondisi,0,0,0,115,5.1
8,Tondano Utara,Pertiwi,Regosol,Pasir,1.3,166,27,23.0,0.0,0.0,43,Vegetatif Aktif,5.5,20,13,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.0
9,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.4,219,28,0.0,0.0,0.0,19,Vegetatif Awal,6.4,19,17,20,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.1
10,Tondano Selatan,NK Perkasa,Latosol,Lempung Berpasir,1.0,216,27,0.0,0.0,0.0,42,Vegetatif Aktif,5.5,16,16,19,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0
11,Tondano Selatan,Pertiwi,Regosol,Lempung Berpasir,1.6,160,28,38.0,15.0,15.0,32,Vegetatif Aktif,6.1,30,25,25,Seimbang,Pertahankan Kondisi,0,0,0,105,5.3
12,Tondano Utara,Bisi 2,Latosol,Lempung Berpasir,2.5,241,29,0.0,0.0,0.0,65,Generatif,5.9,20,19,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,4.7
13,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,1.8,204,29,15.0,15.0,15.0,21,Vegetatif Awal,6.5,23,17,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.3
14,Tondano Selatan,Pioneer Sweet Corn,Regosol,Lempung Berpasir,0.5,201,28,15.0,15.0,15.0,78,Generatif,6.0,29,15,23,Seimbang,Pertahankan Kondisi,0,0,0,90,5.2
15,Tondano Selatan,Bisi 2,Regosol,Pasir,0.8,248,27,15.0,15.0,15.0,22,Vegetatif Awal,6.5,22,26,25,Seimbang,Pertahankan Kondisi,0,0,0,115,5.2
16,Tondano Utara,Bisi 2,Regosol,Lempung Berpasir,1.7,160,30,23.0,0.0,0.0,81,Generatif,6.5,30,17,21,Seimbang,Pertahankan Kondisi,0,0,0,115,5.3
17,Sonder,Bisi 2,Latosol,Lempung,2.7,185,30,0.0,0.0,0.0,22,Vegetatif Awal,6.2,20,9,10,Seimbang,Pertahankan Kondisi,0,0,0,115,4.4
18,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.0,220,29,15.0,15.0,15.0,78,Generatif,6.1,16,24,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.3
19,Tondano Utara,NK Perkasa,Andosol,Lempung,1.9,188,29,23.0,0.0,0.0,78,Generatif,6.2,21,11,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.7
20,Tondano Selatan,Pioneer Sweet Corn,Regosol,Lempung Berpasir,2.4,209,30,23.0,0.0,0.0,29,Vegetatif Aktif,5.6,29,13,19,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.1
21,Tondano Utara,Bisi 2,Andosol,Pasir,1.0,236,28,15.0,15.0,15.0,54,Vegetatif Aktif,6.0,29,23,19,Seimbang,Pertahankan Kondisi,0,0,0,115,5.5
22,Sonder,Pertiwi,Andosol,Lempung,1.2,193,31,15.0,15.0,15.0,75,Generatif,6.3,18,18,21,Seimbang,Pertahankan Kondisi,0,0,0,105,5.9
23,Kauditan,NK Perkasa,Regosol,Pasir,2.3,218,28,0.0,0.0,0.0,52,Vegetatif Aktif,5.9,10,10,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,4.6
24,Tombulu,Bisi 2,Andosol,Pasir,1.2,215,28,15.0,15.0,15.0,76,Generatif,6.3,24,15,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.5
25,Kauditan,Pertiwi,Regosol,Pasir,0.9,220,27,15.0,15.0,15.0,74,Generatif,5.6,25,21,18,Seimbang,Pertahankan Kondisi,0,0,0,105,4.7
26,Tondano Utara,Pioneer Sweet Corn,Latosol,Lempung,2.1,223,26,23.0,0.0,0.0,16,Vegetatif Awal,6.7,17,16,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,4.9
27,Langowan,NK Perkasa,Regosol,Pasir,2.4,209,27,15.0,15.0,15.0,70,Generatif,5.8,17,25,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,4.9
28,Airmadidi,Pioneer Sweet Corn,Regosol,Pasir,1.8,242,28,15.0,15.0,15.0,27,Vegetatif Aktif,6.1,21,21,23,Seimbang,Pertahankan Kondisi,0,0,0,90,4.9
29,Langowan,NK Perkasa,Regosol,Pasir,1.8,161,26,0.0,0.0,0.0,71,Generatif,5.9,17,20,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0
